build_year,build_year_cat,building_state,facades,garden,living_area,locality_name,number_bedrooms,postal_code,price,property_type,province,swimming_pool,terrace
,,New,,1,94.0,Gembloux,2.0,5030.0,367000.0,apartment,Namur,0,1.0
,,nan,2.0,1,286.0,Brussels,7.0,1000.0,1080000.0,residence,Brussels Capital Region,0,1.0
,,New,3.0,1,195.0,Minderhout,5.0,2322.0,5000.0,residence,Antwerp,0,1.0
1967.0,1960s,To renovate,4.0,1,372.0,Kraainem,5.0,1950.0,1100000.0,residence,Flemish Brabant,0,1.0
1976.0,1970s,Fully renovated,2.0,0,87.0,Oostende,2.0,8400.0,319000.0,apartment,West Flanders,0,1.0
,,New,2.0,0,92.0,Lier,2.0,2500.0,291981.0,apartment,Antwerp,0,1.0
,,To renovate,2.0,0,150.0,Liege,5.0,4020.0,200000.0,residence,Liège,0,1.0
1874.0,1800s,To renovate,4.0,1,133.0,Aywaille,4.0,4920.0,199000.0,residence,Liège,0,1.0
,,nan,,0,119.0,Tournai,3.0,7500.0,387500.0,duplex,Hainaut,1,1.0
,,New,2.0,0,67.0,Anderlecht,1.0,1070.0,270000.0,apartment,Brussels Capital Region,0,1.0
1910.0,1910s,nan,4.0,1,126.0,Jambes,2.0,5100.0,295000.0,apartment,Namur,0,1.0
1980.0,1980s,nan,2.0,1,412.0,Houthalen-Helchteren,4.0,3530.0,650000.0,residence,Limburg,0,1.0
,,New,3.0,1,199.0,Noorderwijk,3.0,2200.0,455000.0,residence,Antwerp,0,1.0
1970.0,1970s,nan,2.0,0,55.0,Schaarbeek,2.0,1030.0,219000.0,apartment,Brussels Capital Region,0,1.0
,,nan,,0,,Liege,,4000.0,209000.0,nan,Liège,0,
,,Normal,3.0,1,177.0,Kluisbergen,4.0,9690.0,275000.0,residence,East Flanders,0,1.0
,,Normal,,0,100.0,Evere,2.0,1140.0,290000.0,apartment,Brussels Capital Region,0,1.0
,,nan,,0,,Zaventem,,1930.0,325000.0,nan,Flemish Brabant,0,
,,nan,,0,,Gentbrugge,,9050.0,500000.0,nan,East Flanders,0,
1977.0,1970s,nan,2.0,0,102.0,Waremme,2.0,4300.0,189000.0,apartment,Liège,0,1.0
,,New,,0,117.0,Liege,2.0,4000.0,318750.0,apartment,Liège,0,1.0
,,New,4.0,1,134.0,Evere,3.0,1140.0,528000.0,duplex,Brussels Capital Region,0,1.0
1899.0,1800s,Normal,3.0,1,107.0,Bertrix,3.0,6880.0,185000.0,residence,Luxembourg,0,0.0
,,New,,1,199.0,Genk,4.0,3600.0,772000.0,apartment,Limburg,0,1.0
,,Normal,4.0,1,200.0,Lustin,4.0,5170.0,450000.0,residence,Namur,0,1.0
,,Normal,,1,291.0,Beersel,3.0,1650.0,795000.0,residence,Flemish Brabant,0,1.0
,,nan,,0,,Ieper,,8900.0,212750.0,nan,West Flanders,0,
,,nan,2.0,0,106.0,Chimay,2.0,6460.0,279400.0,apartment,Hainaut,0,1.0
1930.0,1930s,To renovate,3.0,0,181.0,Herent,3.0,3020.0,255000.0,residence,Flemish Brabant,0,0.0
,,nan,3.0,1,,Saint-Servais,4.0,5002.0,285000.0,residence,Namur,0,1.0
,,nan,,0,118.0,Diepenbeek,2.0,3590.0,440000.0,apartment,Limburg,0,1.0
,,nan,,0,77.0,Koersel,1.0,3582.0,254500.0,apartment,Limburg,0,1.0
,,nan,,0,,Vinkt,,9800.0,340000.0,nan,East Flanders,0,
,,New,2.0,0,50.0,Mortsel,1.0,2640.0,214000.0,ground,Antwerp,0,0.0
,,Normal,,0,233.0,Anderlecht,7.0,1070.0,415000.0,residence,Brussels Capital Region,0,1.0
,,New,2.0,1,175.0,Éghezée,4.0,5310.0,449000.0,residence,Namur,0,1.0
,,New,4.0,1,94.0,Ruisbroek,2.0,2870.0,250000.0,apartment,Antwerp,0,1.0
,,Normal,,0,72.0,Aalst,2.0,9300.0,105000.0,apartment,East Flanders,0,0.0
1978.0,1970s,Normal,,1,269.0,Overpelt,5.0,3900.0,595000.0,villa,Limburg,0,1.0
1968.0,1960s,To renovate,4.0,1,190.0,Diepenbeek,4.0,3590.0,299000.0,residence,Limburg,0,1.0
2006.0,2000s,Normal,2.0,0,70.0,Relegem,2.0,1731.0,269000.0,apartment,Flemish Brabant,0,1.0
,,Excellent,4.0,1,200.0,Florenville,4.0,6820.0,8600002.0,residence,Luxembourg,0,1.0
1985.0,1980s,To renovate,4.0,1,139.0,Meux,3.0,5081.0,499000.0,residence,Namur,0,1.0
1955.0,1950s,nan,4.0,1,242.0,Peer,6.0,3990.0,449000.0,residence,Limburg,0,
1965.0,1960s,Normal,3.0,1,193.0,Arsimont,3.0,5060.0,280000.0,residence,Namur,0,1.0
1995.0,1990s,Normal,4.0,1,343.0,Waterloo,5.0,1410.0,1095000.0,villa,Walloon Brabant,0,1.0
1957.0,1950s,Normal,,1,197.0,Hechtel,3.0,3940.0,335000.0,residence,Limburg,0,0.0
,,New,4.0,0,131.0,Stabroek,3.0,2940.0,450000.0,apartment,Antwerp,0,1.0
,,New,4.0,0,121.0,Seraing,2.0,4100.0,274000.0,apartment,Liège,0,1.0
1952.0,1950s,Normal,2.0,1,,Zonhoven,3.0,3520.0,349000.0,mixed,Limburg,0,1.0
,,New,,0,94.0,Halen,2.0,3545.0,283700.0,apartment,Limburg,0,1.0
2025.0,2020s,New,3.0,1,270.0,Laken,4.0,1020.0,770000.0,residence,Brussels Capital Region,0,1.0
1875.0,1800s,To renovate,3.0,1,303.0,Bohan,4.0,5550.0,159000.0,residence,Namur,0,1.0
,,New,3.0,1,249.0,Stekene,3.0,9190.0,505000.0,residence,East Flanders,0,1.0
,,New,2.0,0,86.0,Braine-le-Comte,2.0,7090.0,218000.0,apartment,Hainaut,0,1.0
,,nan,,1,94.0,Wortegem-Petegem,2.0,9790.0,290831.0,ground,East Flanders,0,1.0
,,To renovate,,1,63.0,Seraing,1.0,4100.0,89000.0,bungalow,Liège,0,0.0
1970.0,1970s,Normal,,0,40.0,Namur,1.0,5000.0,115000.0,apartment,Namur,0,0.0
2022.0,2020s,New,2.0,0,97.0,Lier,2.0,2500.0,339000.0,apartment,Antwerp,0,1.0
1999.0,1990s,Normal,3.0,1,174.0,Turnhout,4.0,2300.0,398000.0,residence,Antwerp,0,1.0
,,New,2.0,1,102.0,Herentals,2.0,2200.0,400000.0,penthouse,Antwerp,0,1.0
